po_id,plant_id,supplier_id,supplier_name,part_no,part_desc,quantity,received_qty,short_shipment,order_ts,promised_delivery_ts,carrier,last_event,current_eta_ts,scan_ts,effective_arrival_ts,delivery_status,slip_hours,risk_level,risk_threshold_hours,processed_ts
PO-100119,munich,SUP-1005,Hella,PN-HRN-400,Wiring harness,144,144.0,False,2026-02-13 06:00:00,2026-02-16 06:00:00,DSV,AT_HUB,2026-02-17 00:00:00,2026-02-17 00:00:00,2026-02-17 00:00:00,ARRIVED,18.0,LATE,12.0,2026-03-02T06:00:00
PO-100125,munich,SUP-1003,ZF Friedrichshafen,PN-ALT-200,Alternator,48,48.0,False,2026-02-13 10:00:00,2026-02-16 10:00:00,DSV,AT_HUB,2026-02-16 10:00:00,2026-02-16 07:00:00,2026-02-16 07:00:00,ARRIVED,-3.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100088,munich,SUP-1004,Mahle,PN-LMP-500,Headlamp module,24,24.0,False,2026-02-13 13:00:00,2026-02-16 13:00:00,DHL Freight,IN_TRANSIT,2026-02-16 13:00:00,2026-02-16 12:00:00,2026-02-16 12:00:00,ARRIVED,-1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100122,munich,SUP-1004,Mahle,PN-ALT-200,Alternator,24,24.0,False,2026-02-13 15:00:00,2026-02-16 15:00:00,DSV,OUT_FOR_DELIVERY,2026-02-16 15:00:00,2026-02-16 14:00:00,2026-02-16 14:00:00,ARRIVED,-1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100260,munich,SUP-1004,Mahle,PN-BRK-100,Brake caliper,144,144.0,False,2026-02-13 15:00:00,2026-02-16 15:00:00,DHL Freight,AT_HUB,2026-02-16 15:00:00,2026-02-16 11:00:00,2026-02-16 11:00:00,ARRIVED,-4.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100262,munich,SUP-1005,Hella,PN-LMP-500,Headlamp module,24,24.0,False,2026-02-14 06:00:00,2026-02-17 06:00:00,DHL Freight,AT_HUB,2026-02-17 06:00:00,2026-02-17 06:00:00,2026-02-17 06:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100378,munich,SUP-1001,Bosch,PN-HRN-400,Wiring harness,48,48.0,False,2026-02-14 06:00:00,2026-02-17 06:00:00,DHL Freight,IN_TRANSIT,2026-02-17 06:00:00,2026-02-17 02:00:00,2026-02-17 02:00:00,ARRIVED,-4.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100296,munich,SUP-1002,Continental,PN-ALT-200,Alternator,96,96.0,False,2026-02-14 07:00:00,2026-02-17 07:00:00,DSV,PICKED_UP,2026-02-17 07:00:00,2026-02-17 03:00:00,2026-02-17 03:00:00,ARRIVED,-4.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100303,munich,SUP-1004,Mahle,PN-BRK-100,Brake caliper,48,48.0,False,2026-02-14 08:00:00,2026-02-17 08:00:00,DB Schenker,OUT_FOR_DELIVERY,2026-02-17 08:00:00,2026-02-17 09:00:00,2026-02-17 09:00:00,ARRIVED,1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100244,munich,SUP-1003,ZF Friedrichshafen,PN-HRN-400,Wiring harness,12,12.0,False,2026-02-14 09:00:00,2026-02-17 09:00:00,Kuehne+Nagel,IN_TRANSIT,2026-02-17 09:00:00,2026-02-17 09:00:00,2026-02-17 09:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100460,munich,SUP-1002,Continental,PN-HRN-400,Wiring harness,12,12.0,False,2026-02-13 09:00:00,2026-02-17 09:00:00,DB Schenker,OUT_FOR_DELIVERY,2026-02-17 09:00:00,2026-02-17 07:00:00,2026-02-17 07:00:00,ARRIVED,-2.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100252,munich,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,12,12.0,False,2026-02-13 10:00:00,2026-02-17 10:00:00,DB Schenker,IN_TRANSIT,2026-02-17 10:00:00,2026-02-17 08:00:00,2026-02-17 08:00:00,ARRIVED,-2.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100231,munich,SUP-1005,Hella,PN-LMP-500,Headlamp module,24,24.0,False,2026-02-14 11:00:00,2026-02-17 11:00:00,DHL Freight,PICKED_UP,2026-02-17 11:00:00,2026-02-17 07:00:00,2026-02-17 07:00:00,ARRIVED,-4.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100076,munich,SUP-1001,Bosch,PN-BRK-100,Brake caliper,12,12.0,False,2026-02-14 12:00:00,2026-02-17 12:00:00,DHL Freight,AT_HUB,2026-02-17 12:00:00,2026-02-17 11:00:00,2026-02-17 11:00:00,ARRIVED,-1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100242,munich,SUP-1004,Mahle,PN-HRN-400,Wiring harness,48,48.0,False,2026-02-14 13:00:00,2026-02-17 13:00:00,,,,2026-02-18 14:00:00,2026-02-18 14:00:00,ARRIVED,25.0,LATE,12.0,2026-03-02T06:00:00
PO-100126,munich,SUP-1005,Hella,PN-ALT-200,Alternator,24,24.0,False,2026-02-13 14:00:00,2026-02-17 14:00:00,DSV,PICKED_UP,2026-02-17 16:00:00,2026-02-17 13:00:00,2026-02-17 13:00:00,ARRIVED,-1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100187,munich,SUP-1001,Bosch,PN-LMP-500,Headlamp module,48,48.0,False,2026-02-14 14:00:00,2026-02-17 14:00:00,DSV,AT_HUB,2026-02-17 14:00:00,2026-02-17 10:00:00,2026-02-17 10:00:00,ARRIVED,-4.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100316,munich,SUP-1001,Bosch,PN-SNS-300,Wheel speed sensor,144,144.0,False,2026-02-13 14:00:00,2026-02-17 14:00:00,DB Schenker,AT_HUB,2026-02-17 14:00:00,2026-02-17 14:00:00,2026-02-17 14:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100487,munich,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,48,48.0,False,2026-02-13 14:00:00,2026-02-17 14:00:00,Kuehne+Nagel,IN_TRANSIT,2026-02-17 14:00:00,2026-02-17 13:00:00,2026-02-17 13:00:00,ARRIVED,-1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100388,munich,SUP-1005,Hella,PN-ALT-200,Alternator,24,24.0,False,2026-02-14 14:00:00,2026-02-17 14:00:00,DB Schenker,PICKED_UP,2026-02-17 14:00:00,2026-02-17 11:00:00,2026-02-17 11:00:00,ARRIVED,-3.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100335,munich,SUP-1002,Continental,PN-HRN-400,Wiring harness,96,,False,2026-02-14 14:00:00,2026-02-17 14:00:00,DB Schenker,AT_HUB,2026-02-17 14:00:00,,2026-02-17 14:00:00,IN_TRANSIT,0.0,LOW,12.0,2026-03-02T06:00:00
PO-100452,munich,SUP-1001,Bosch,PN-BRK-100,Brake caliper,144,144.0,False,2026-02-13 06:00:00,2026-02-18 06:00:00,DHL Freight,OUT_FOR_DELIVERY,2026-02-18 06:00:00,2026-02-18 06:00:00,2026-02-18 06:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100389,munich,SUP-1004,Mahle,PN-HRN-400,Wiring harness,24,24.0,False,2026-02-15 06:00:00,2026-02-18 06:00:00,Kuehne+Nagel,PICKED_UP,2026-02-18 06:00:00,2026-02-18 06:00:00,2026-02-18 06:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100363,munich,SUP-1002,Continental,PN-ALT-200,Alternator,12,12.0,False,2026-02-14 06:00:00,2026-02-18 06:00:00,DB Schenker,OUT_FOR_DELIVERY,2026-02-18 06:00:00,2026-02-18 06:00:00,2026-02-18 06:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100323,munich,SUP-1003,ZF Friedrichshafen,PN-ALT-200,Alternator,12,12.0,False,2026-02-14 06:00:00,2026-02-18 06:00:00,Kuehne+Nagel,PICKED_UP,2026-02-18 06:00:00,2026-02-18 02:00:00,2026-02-18 02:00:00,ARRIVED,-4.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100467,munich,SUP-1002,Continental,PN-BRK-100,Brake caliper,24,24.0,False,2026-02-14 06:00:00,2026-02-18 06:00:00,DB Schenker,AT_HUB,2026-02-18 06:00:00,2026-02-18 05:00:00,2026-02-18 05:00:00,ARRIVED,-1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100258,munich,SUP-1002,Continental,PN-SNS-300,Wheel speed sensor,144,144.0,False,2026-02-14 07:00:00,2026-02-18 07:00:00,DHL Freight,PICKED_UP,2026-02-18 07:00:00,2026-02-18 07:00:00,2026-02-18 07:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100115,munich,SUP-1003,ZF Friedrichshafen,PN-HRN-400,Wiring harness,24,24.0,False,2026-02-15 07:00:00,2026-02-18 07:00:00,DB Schenker,AT_HUB,2026-02-18 07:00:00,2026-02-18 04:00:00,2026-02-18 04:00:00,ARRIVED,-3.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100390,munich,SUP-1001,Bosch,PN-HRN-400,Wiring harness,144,144.0,False,2026-02-14 07:00:00,2026-02-18 07:00:00,DB Schenker,IN_TRANSIT,2026-02-18 07:00:00,2026-02-18 03:00:00,2026-02-18 03:00:00,ARRIVED,-4.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100072,munich,SUP-1002,Continental,PN-LMP-500,Headlamp module,48,48.0,False,2026-02-13 08:00:00,2026-02-18 08:00:00,DHL Freight,OUT_FOR_DELIVERY,2026-02-20 08:00:00,2026-02-20 08:00:00,2026-02-20 08:00:00,ARRIVED,48.0,LATE,12.0,2026-03-02T06:00:00
PO-100131,munich,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,144,144.0,False,2026-02-13 10:00:00,2026-02-18 10:00:00,DB Schenker,IN_TRANSIT,2026-02-18 11:00:00,2026-02-18 10:00:00,2026-02-18 10:00:00,ARRIVED,0.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100299,munich,SUP-1003,ZF Friedrichshafen,PN-HRN-400,Wiring harness,48,48.0,False,2026-02-15 10:00:00,2026-02-18 10:00:00,DSV,OUT_FOR_DELIVERY,2026-02-18 22:00:00,2026-02-18 23:00:00,2026-02-18 23:00:00,ARRIVED,13.0,LATE,12.0,2026-03-02T06:00:00
PO-100206,munich,SUP-1001,Bosch,PN-BRK-100,Brake caliper,48,48.0,False,2026-02-13 11:00:00,2026-02-18 11:00:00,DB Schenker,PICKED_UP,2026-02-18 12:00:00,2026-02-18 12:00:00,2026-02-18 12:00:00,ARRIVED,1.0,ON_TIME,12.0,2026-03-02T06:00:00
PO-100449,munich,SUP-1005,Hella,PN-SNS-300,Wheel speed sensor,24,24.0,False,2026-02-14 11:00:00,2026-02-18 11:00:00,DSV,IN_TRANSIT,2026-02-18 14:00:00,2026-02-18 15:00:00,2026-02-18 15:00:00,ARRIVED,4.0,LATE,12.0,2026-03-02T06:00:00
