po_id,carrier,tracking_no,current_eta_ts,last_event,last_event_ts
PO-100001,DHL Freight,TRK7831113321,2026-02-20T09:00:00,PICKED_UP,2026-02-17T09:00:00
PO-100003,DHL Freight,TRK8429141456,2026-02-20T07:00:00,PICKED_UP,2026-02-16T07:00:00
PO-100004,DB Schenker,TRK4721519026,2026-02-27T07:00:00,OUT_FOR_DELIVERY,2026-02-26T07:00:00
PO-100005,DSV,TRK6924716023,2026-03-03T07:00:00,IN_TRANSIT,2026-02-27T07:00:00
PO-100006,Kuehne+Nagel,TRK7439149233,2026-03-03T09:00:00,OUT_FOR_DELIVERY,2026-02-27T06:00:00
PO-100007,DSV,TRK2554762903,2026-03-03T14:00:00,IN_TRANSIT,2026-02-27T14:00:00
PO-100008,DHL Freight,TRK6947530309,2026-03-02T07:00:00,OUT_FOR_DELIVERY,2026-03-01T07:00:00
PO-100009,Kuehne+Nagel,TRK2867302554,2026-03-02T07:00:00,OUT_FOR_DELIVERY,2026-02-24T07:00:00
PO-100010,Kuehne+Nagel,TRK4274958945,2026-02-26T07:00:00,PICKED_UP,2026-02-24T07:00:00
PO-100011,DB Schenker,TRK3361388464,2026-02-20T15:00:00,AT_HUB,2026-02-19T15:00:00
PO-100012,DHL Freight,TRK2452066459,2026-03-01T11:00:00,IN_TRANSIT,2026-02-26T11:00:00
PO-100013,DB Schenker,TRK7769777475,2026-03-01T11:00:00,IN_TRANSIT,2026-02-28T11:00:00
PO-100014,DSV,TRK8422620843,2026-02-22T13:00:00,PICKED_UP,2026-02-20T13:00:00
PO-100015,DHL Freight,TRK5161807235,2026-02-22T07:00:00,IN_TRANSIT,2026-02-17T07:00:00
PO-100016,DSV,TRK1664847319,2026-02-18T12:00:00,AT_HUB,2026-02-14T12:00:00
PO-100017,DHL Freight,TRK4656488400,2026-03-01T13:00:00,PICKED_UP,2026-02-25T13:00:00
PO-100018,Kuehne+Nagel,TRK9309500117,2026-03-03T06:00:00,IN_TRANSIT,2026-02-25T06:00:00
PO-100019,DHL Freight,TRK5278201677,2026-02-24T08:00:00,PICKED_UP,2026-02-22T08:00:00
