po_id,dock_door,scan_ts,received_qty
PO-100001,D09,2026-02-20T06:00:00,48
PO-100002,D07,2026-02-25T09:00:00,144
PO-100003,D11,2026-02-20T05:00:00,48
PO-100004,D06,2026-02-27T08:00:00,24
PO-100010,D02,2026-02-26T03:00:00,24
PO-100011,D04,2026-02-20T14:00:00,12
PO-100012,D12,2026-03-01T07:00:00,96
PO-100013,D02,2026-03-01T08:00:00,12
PO-100014,D08,2026-02-22T13:00:00,96
PO-100015,D04,2026-02-22T06:00:00,96
PO-100016,D12,2026-02-18T12:00:00,96
PO-100017,D04,2026-03-01T14:00:00,12
PO-100019,D03,2026-02-24T06:00:00,48
PO-100020,D12,2026-02-23T04:00:00,48
PO-100021,D01,2026-02-20T09:00:00,143
PO-100022,D03,2026-02-28T17:00:00,96
PO-100023,D07,2026-02-19T10:00:00,48
PO-100025,D01,2026-02-21T08:00:00,96
PO-100026,D11,2026-02-28T03:00:00,48
PO-100027,D09,2026-02-21T09:00:00,96
PO-100028,D09,2026-02-27T12:00:00,24
PO-100029,D10,2026-02-26T14:00:00,48
PO-100031,D12,2026-02-24T06:00:00,12
PO-100033,D10,2026-02-21T08:00:00,24
PO-100034,D01,2026-02-25T05:00:00,96
PO-100037,D10,2026-02-19T03:00:00,48
PO-100039,D02,2026-02-22T07:00:00,96
PO-100040,D05,2026-03-01T13:00:00,96
PO-100041,D07,2026-02-24T15:00:00,96
PO-100042,D08,2026-02-25T08:00:00,24
PO-100043,D12,2026-02-23T04:00:00,96
PO-100044,D09,2026-02-19T10:00:00,24
PO-100045,D08,2026-02-20T11:00:00,48
PO-100046,D01,2026-02-26T13:00:00,48
PO-100047,D05,2026-02-23T06:00:00,12
PO-100048,D05,2026-03-01T09:00:00,12
PO-100049,D03,2026-02-19T07:00:00,96
PO-100050,D07,2026-03-01T11:00:00,144
PO-100051,D07,2026-02-21T12:00:00,12
PO-100052,D06,2026-02-23T11:00:00,96
PO-100053,D05,2026-03-01T11:00:00,12
PO-100054,D02,2026-02-27T12:00:00,12
PO-100056,D10,2026-02-27T08:00:00,144
PO-100057,D07,2026-02-26T14:00:00,96
PO-100058,D11,2026-03-01T10:00:00,96
PO-100061,D11,2026-02-22T12:00:00,48
PO-100062,D12,2026-02-26T11:00:00,24
PO-100063,D12,2026-03-01T14:00:00,96
PO-100065,D09,2026-02-18T15:00:00,96
PO-100067,D01,2026-02-20T09:00:00,96
PO-100068,D03,2026-02-22T07:00:00,144
PO-100069,D06,2026-02-28T05:00:00,96
PO-100070,D10,2026-02-18T15:00:00,48
PO-100072,D10,2026-02-20T08:00:00,48
PO-100073,D08,2026-02-18T14:00:00,144
PO-100074,D11,2026-02-19T03:00:00,144
PO-100075,D11,2026-02-26T06:00:00,96
PO-100076,D12,2026-02-17T11:00:00,12
PO-100077,D07,2026-02-25T08:00:00,48
PO-100078,D10,2026-02-19T06:00:00,144
PO-100079,D10,2026-02-18T15:00:00,12
PO-100080,D08,2026-03-01T12:00:00,96
PO-100081,D12,2026-02-23T08:00:00,24
PO-100083,D06,2026-02-25T15:00:00,144
PO-100084,D06,2026-03-01T13:00:00,96
PO-100085,D11,2026-02-19T10:00:00,12
PO-100088,D09,2026-02-16T12:00:00,24
PO-100090,D05,2026-02-28T11:00:00,48
PO-100091,D02,2026-02-21T09:00:00,144
PO-100092,D03,2026-03-01T15:00:00,144
PO-100093,D06,2026-03-01T06:00:00,48
PO-100096,D06,2026-02-25T06:00:00,12
PO-100098,D09,2026-02-24T08:00:00,144
PO-100099,D11,2026-02-18T11:00:00,96
PO-100100,D03,2026-02-23T07:00:00,12
PO-100101,D04,2026-02-28T09:00:00,24
PO-100102,D07,2026-02-25T13:00:00,144
PO-100103,D02,2026-02-25T09:00:00,24
PO-100104,D10,2026-02-26T10:00:00,96
PO-100105,D11,2026-02-28T13:00:00,12
PO-100106,D02,2026-02-28T05:00:00,11
PO-100108,D12,2026-02-18T13:00:00,96
PO-100109,D05,2026-02-20T03:00:00,144
PO-100111,D02,2026-02-22T15:00:00,24
PO-100114,D04,2026-02-21T11:00:00,12
PO-100115,D03,2026-02-18T04:00:00,24
PO-100117,D09,2026-02-20T14:00:00,96
PO-100118,D03,2026-02-25T12:00:00,12
PO-100119,D12,2026-02-17T00:00:00,144
PO-100121,D10,2026-02-27T13:00:00,12
PO-100122,D12,2026-02-16T14:00:00,24
PO-100123,D05,2026-02-27T08:00:00,24
PO-100125,D02,2026-02-16T07:00:00,48
PO-100126,D07,2026-02-17T13:00:00,24
PO-100128,D09,2026-03-01T13:00:00,96
PO-100129,D04,2026-02-20T10:00:00,96
PO-100130,D05,2026-02-24T06:00:00,144
PO-100131,D03,2026-02-18T10:00:00,144
PO-100133,D08,2026-02-21T06:00:00,144
PO-100134,D04,2026-02-27T08:00:00,12
PO-100137,D05,2026-02-27T06:00:00,24
PO-100138,D01,2026-02-26T08:00:00,96
PO-100139,D10,2026-02-25T15:00:00,144
PO-100140,D09,2026-02-25T03:00:00,144
PO-100141,D08,2026-02-28T09:00:00,24
PO-100142,D04,2026-02-19T06:00:00,24
PO-100143,D08,2026-02-28T15:00:00,24
PO-100144,D10,2026-02-24T22:00:00,24
PO-100146,D09,2026-02-23T04:00:00,12
PO-100148,D09,2026-02-20T11:00:00,48
PO-100150,D07,2026-02-26T07:00:00,144
PO-100152,D03,2026-02-23T09:00:00,96
PO-100153,D09,2026-02-22T01:00:00,48
PO-100154,D04,2026-02-21T14:00:00,12
PO-100155,D12,2026-02-20T08:00:00,24
PO-100156,D11,2026-02-24T08:00:00,24
PO-100157,D07,2026-02-28T10:00:00,48
PO-100160,D05,2026-02-26T03:00:00,144
PO-100161,D02,2026-02-28T11:00:00,144
PO-100162,D01,2026-02-22T09:00:00,48
PO-100163,D07,2026-02-28T07:00:00,20
PO-100164,D02,2026-02-22T11:00:00,144
PO-100165,D02,2026-03-01T12:00:00,48
PO-100166,D08,2026-02-23T13:00:00,96
PO-100167,D04,2026-02-21T05:00:00,96
PO-100168,D09,2026-02-23T06:00:00,144
PO-100169,D04,2026-02-19T08:00:00,144
PO-100170,D12,2026-02-27T10:00:00,144
PO-100172,D08,2026-02-27T06:00:00,96
PO-100174,D03,2026-03-01T09:00:00,144
PO-100175,D01,2026-03-01T05:00:00,24
PO-100176,D07,2026-02-27T03:00:00,96
PO-100177,D10,2026-02-22T21:00:00,24
PO-100178,D04,2026-03-01T05:00:00,24
PO-100179,D04,2026-03-01T13:00:00,144
PO-100180,D10,2026-02-21T09:00:00,96
PO-100181,D07,2026-02-28T09:00:00,96
PO-100182,D10,2026-02-27T11:00:00,96
PO-100183,D01,2026-02-27T09:00:00,96
PO-100184,D12,2026-03-01T08:00:00,144
PO-100185,D01,2026-02-24T07:00:00,96
PO-100186,D06,2026-02-26T11:00:00,12
PO-100187,D06,2026-02-17T10:00:00,48
PO-100188,D04,2026-02-21T09:00:00,144
PO-100191,D03,2026-02-28T05:00:00,144
PO-100192,D03,2026-02-20T04:00:00,24
PO-100194,D07,2026-02-28T21:00:00,144
PO-100195,D03,2026-02-20T03:00:00,144
PO-100196,D09,2026-02-19T11:00:00,96
PO-100197,D06,2026-02-19T11:00:00,96
PO-100198,D02,2026-02-20T05:00:00,96
PO-100199,D01,2026-03-02T06:00:00,144
PO-100200,D04,2026-02-19T15:00:00,142
PO-100201,D02,2026-02-21T05:00:00,144
PO-100203,D10,2026-02-21T17:00:00,96
PO-100204,D02,2026-02-18T11:00:00,96
PO-100205,D04,2026-02-25T13:00:00,12
PO-100206,D08,2026-02-18T12:00:00,48
PO-100208,D03,2026-02-26T12:00:00,12
PO-100209,D05,2026-02-23T08:00:00,12
PO-100210,D05,2026-02-26T05:00:00,48
PO-100212,D06,2026-02-18T12:00:00,96
PO-100214,D08,2026-02-26T15:00:00,48
PO-100217,D01,2026-02-25T01:00:00,12
PO-100219,D04,2026-02-22T11:00:00,144
PO-100221,D09,2026-03-01T06:00:00,144
PO-100222,D05,2026-02-18T15:00:00,12
PO-100223,D05,2026-02-24T07:00:00,24
PO-100224,D03,2026-02-26T15:00:00,12
PO-100225,D06,2026-02-28T12:00:00,48
PO-100226,D03,2026-02-27T02:00:00,12
PO-100227,D05,2026-02-26T12:00:00,96
PO-100228,D01,2026-02-24T05:00:00,24
PO-100229,D05,2026-02-27T04:00:00,12
PO-100230,D04,2026-02-22T09:00:00,144
PO-100231,D12,2026-02-17T07:00:00,24
PO-100232,D10,2026-02-27T10:00:00,12
