po_id,supplier_id,supplier_name,part_no,part_desc,quantity,order_ts,promised_delivery_ts,plant_id
PO-100001,SUP-1001,Bosch,PN-BRK-100,Brake caliper,48,2026-02-16T09:00:00,2026-02-20T09:00:00,munich
PO-100002,SUP-1005,Hella,PN-ALT-200,Alternator,144,2026-02-19T09:00:00,2026-02-25T09:00:00,munich
PO-100003,SUP-1002,Continental,PN-ALT-200,Alternator,48,2026-02-14T07:00:00,2026-02-20T07:00:00,munich
PO-100004,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,24,2026-02-24T07:00:00,2026-02-27T07:00:00,munich
PO-100005,SUP-1003,ZF Friedrichshafen,PN-ALT-200,Alternator,48,2026-02-24T07:00:00,2026-03-03T07:00:00,munich
PO-100006,SUP-1003,ZF Friedrichshafen,PN-BRK-100,Brake caliper,24,2026-02-26T06:00:00,2026-03-03T06:00:00,munich
PO-100007,SUP-1003,ZF Friedrichshafen,PN-ALT-200,Alternator,24,2026-02-24T14:00:00,2026-03-03T14:00:00,munich
PO-100008,SUP-1004,Mahle,PN-BRK-100,Brake caliper,12,2026-02-26T07:00:00,2026-03-02T07:00:00,munich
PO-100009,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,12,2026-02-23T07:00:00,2026-03-02T07:00:00,munich
PO-100010,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,24,2026-02-21T07:00:00,2026-02-26T07:00:00,munich
PO-100011,SUP-1003,ZF Friedrichshafen,PN-ALT-200,Alternator,12,2026-02-16T15:00:00,2026-02-19T15:00:00,munich
PO-100012,SUP-1002,Continental,PN-SNS-300,Wheel speed sensor,96,2026-02-23T11:00:00,2026-03-01T11:00:00,munich
PO-100013,SUP-1002,Continental,PN-BRK-100,Brake caliper,12,2026-02-26T11:00:00,2026-03-01T11:00:00,munich
PO-100014,SUP-1004,Mahle,PN-SNS-300,Wheel speed sensor,96,2026-02-19T13:00:00,2026-02-22T13:00:00,munich
PO-100015,SUP-1002,Continental,PN-SNS-300,Wheel speed sensor,96,2026-02-16T07:00:00,2026-02-22T07:00:00,munich
PO-100016,SUP-1001,Bosch,PN-ALT-200,Alternator,96,2026-02-13T12:00:00,2026-02-18T12:00:00,munich
PO-100017,SUP-1003,ZF Friedrichshafen,PN-BRK-100,Brake caliper,12,2026-02-22T13:00:00,2026-03-01T13:00:00,munich
PO-100018,SUP-1005,Hella,PN-ALT-200,Alternator,144,2026-02-22T06:00:00,2026-03-01T06:00:00,munich
PO-100019,SUP-1003,ZF Friedrichshafen,PN-ALT-200,Alternator,48,2026-02-19T08:00:00,2026-02-24T08:00:00,munich
PO-100020,SUP-1001,Bosch,PN-ALT-200,Alternator,48,2026-02-17T08:00:00,2026-02-23T08:00:00,munich
PO-100021,SUP-1003,ZF Friedrichshafen,PN-SNS-300,Wheel speed sensor,144,2026-02-16T11:00:00,2026-02-20T11:00:00,munich
PO-100022,SUP-1003,ZF Friedrichshafen,PN-ALT-200,Alternator,96,2026-02-21T12:00:00,2026-02-28T12:00:00,munich
PO-100023,SUP-1003,ZF Friedrichshafen,PN-BRK-100,Brake caliper,48,2026-02-16T09:00:00,2026-02-19T09:00:00,munich
PO-100024,SUP-1002,Continental,PN-SNS-300,Wheel speed sensor,24,2026-02-25T07:00:00,2026-03-03T07:00:00,munich
PO-100025,SUP-1001,Bosch,PN-ALT-200,Alternator,96,2026-02-18T10:00:00,2026-02-21T10:00:00,munich
PO-100026,SUP-1004,Mahle,PN-SNS-300,Wheel speed sensor,48,2026-02-19T15:00:00,2026-02-26T15:00:00,munich
PO-100027,SUP-1002,Continental,PN-SNS-300,Wheel speed sensor,96,2026-02-14T11:00:00,2026-02-21T11:00:00,munich
PO-100028,SUP-1004,Mahle,PN-HRN-400,Wiring harness,24,2026-02-22T15:00:00,2026-02-27T15:00:00,munich
PO-100029,SUP-1002,Continental,PN-BRK-100,Brake caliper,48,2026-02-21T15:00:00,2026-02-26T15:00:00,munich
PO-100030,SUP-1001,Bosch,PN-HRN-400,Wiring harness,96,2026-02-27T15:00:00,2026-03-03T15:00:00,munich
PO-100031,SUP-1005,Hella,PN-HRN-400,Wiring harness,12,2026-02-21T09:00:00,2026-02-24T09:00:00,munich
PO-100032,SUP-1004,Mahle,PN-SNS-300,Wheel speed sensor,24,2026-02-26T10:00:00,2026-03-05T10:00:00,munich
PO-100033,SUP-1005,Hella,PN-BRK-100,Brake caliper,24,2026-02-15T09:00:00,2026-02-21T09:00:00,munich
PO-100034,SUP-1001,Bosch,PN-LMP-500,Headlamp module,96,2026-02-20T06:00:00,2026-02-25T06:00:00,munich
PO-100035,SUP-1004,Mahle,PN-ALT-200,Alternator,96,2026-02-27T08:00:00,2026-03-06T08:00:00,munich
PO-100036,SUP-1004,Mahle,PN-ALT-200,Alternator,12,2026-02-17T12:00:00,2026-02-22T12:00:00,munich
PO-100037,SUP-1005,Hella,PN-BRK-100,Brake caliper,48,2026-02-16T07:00:00,2026-02-19T07:00:00,munich
PO-100038,SUP-1004,Mahle,PN-SNS-300,Wheel speed sensor,48,2026-02-15T15:00:00,2026-02-22T15:00:00,munich
PO-100039,SUP-1003,ZF Friedrichshafen,PN-LMP-500,Headlamp module,96,2026-02-19T09:00:00,2026-02-22T09:00:00,munich
PO-100040,SUP-1003,ZF Friedrichshafen,PN-BRK-100,Brake caliper,96,2026-02-26T13:00:00,2026-03-01T13:00:00,munich
PO-100041,SUP-1005,Hella,PN-HRN-400,Wiring harness,96,2026-02-19T15:00:00,2026-02-24T15:00:00,munich
